A00|霍乱
A01|伤寒
A02|其他沙门菌感染
A03|志贺菌病
A04|其他细菌性肠道感染
A05|其他细菌性食物中毒
A06|阿米巴病
A07|其他原虫性肠道疾病
A08|病毒性和其他特指的肠道感染
A09|其他肠胃炎和结肠炎
A10|结核病
A11|呼吸道结核
A12|神经系统结核
A13|其他器官结核
A14|粟粒性结核
A15|瘟疫
A16|土拉菌病
A17|炭疽
A18|布鲁氏菌病
A19|鼻疽和类鼻疽
A20|鼠咬热
A21|类丹毒
A22|李斯特菌病
A23|其他动物源性细菌性疾病
A24|麻风病
A25|皮肤分枝杆菌感染
A26|白喉
A27|百日咳
A28|链球菌性咽喉炎
A29|猩红热
A30|脑膜炎球菌感染
A31|败血症
A32|其他细菌性疾病
A33|链状芽孢杆菌病
A34|梅毒
A35|雅司病
A36|淋病
A37|衣原体性淋巴肉芽肿
A38|其他衣原体疾病
A39|先天性梅毒
A40|衣原体感染
A41|梅毒后遗症
A42|其他螺旋体病
A43|回归热
A44|斑疹伤寒
A45|其他立克次体病
A46|其他病毒性疾病
A47|急性甲型肝炎
A48|急性乙型肝炎
A49|急性丙型肝炎
A50|急性丁型肝炎
A51|急性戊型肝炎
A52|其他急性病毒性肝炎
A53|慢性病毒性肝炎
A54|艾滋病
A55|其他病毒性疾病
A56|其他病毒性疾病
A57|天花
A58|牛痘
A59|麻疹
A60|风疹
A61|流行性腮腺炎
A62|水痘
A63|带状疱疹
A64|单纯疱疹
A65|病毒性疹病
A66|其他病毒感染
A67|急性脊髓灰质炎
A68|中枢神经系统病毒感染
A69|狂犬病
A70|黄热病
A71|登革热
A72|其他节肢动物传播病毒
A73|病毒性出血热
A74|其他病毒性疾病
A75|其他病毒性疾病
A76|性病性淋巴肉芽肿
A77|HIV感染
A78|其他病毒感染
A79|其他病毒感染
A80|其他病毒感染
A81|其他病毒感染
A82|其他病毒感染
A83|其他病毒感染
A84|其他病毒感染
A85|其他传染病
B00|其他病毒感染
B01|其他病毒感染
B02|其他病毒感染
B03|病毒性肝炎
B04|艾滋病病毒病
B05|其他病毒性疾病
B06|其他真菌病
B07|念珠菌病
B08|其他真菌感染
B09|疟疾
B10|其他原虫病
B11|其他原虫病
B12|利什曼病
B13|锥虫病
B14|其他原虫病
B15|其他原虫病
B16|其他原虫病
B17|其他原虫病
B18|血吸虫病
B19|其他吸虫病
B20|其他吸虫病
B21|其他吸虫病
B22|其他吸虫病
B23|其他吸虫病
B24|其他吸虫病
B25|其他吸虫病
B26|其他蠕虫病
B27|绦虫病
B28|囊虫病
B29|其他绦虫感染
B30|其他蠕虫病
B31|其他蠕虫病
B32|其他蠕虫病
B33|蛔虫病
B34|蛲虫病
B35|钩虫病
B36|其他肠道蠕虫病
B37|丝虫病
B38|其他蠕虫病
B39|其他蠕虫病
B40|其他蠕虫病
B41|其他蠕虫病
B42|其他蠕虫病
B43|其他蠕虫病
B44|其他蠕虫病
B45|其他蠕虫病
B46|其他蠕虫病
B47|其他蠕虫病
B48|其他蠕虫病
B49|其他蠕虫病
B50|其他蠕虫病
B51|其他蠕虫病
B52|其他蠕虫病
B53|其他蠕虫病
B54|其他蠕虫病
B55|其他蠕虫病
B56|其他蠕虫病
B57|其他蠕虫病
B58|其他蠕虫病
B59|其他蠕虫病
B60|其他传染病
B61|其他传染病
B62|其他传染病
B63|其他传染病
B64|其他传染病
B65|其他传染病
B66|其他传染病
B67|其他传染病
B68|其他传染病
B69|其他传染病
B70|其他传染病
B71|其他传染病
B72|其他传染病
B73|其他传染病
B74|其他传染病
B75|其他传染病
B76|其他传染病
B77|其他传染病
B78|其他传染病
B79|其他传染病
C00|唇恶性肿瘤
C01|舌恶性肿瘤
C02|牙龈恶性肿瘤
C03|口底恶性肿瘤
C04|腭恶性肿瘤
C05|腮腺恶性肿瘤
C06|其他口腔恶性肿瘤
C07|鼻咽恶性肿瘤
C08|扁桃体恶性肿瘤
C09|其他口咽恶性肿瘤
C10|梨状窝恶性肿瘤
C11|咽恶性肿瘤
C12|喉恶性肿瘤
C13|食管恶性肿瘤
C14|胃恶性肿瘤
C15|结肠恶性肿瘤
C16|直肠恶性肿瘤
C17|肛门恶性肿瘤
C18|肝恶性肿瘤
